pointid,RdNBR,Distance_m,Near_OID,State,Area_km,RdNBR_mean,RdNBR_SD,Mean_NDWI_Pre,SD_NDWI_Pre,Mean_NDWI_Post,SD_NDWI_Post,Pixel_count,Beaver_Dam,Margin,Pixel_Severity,Wetland_Severity,,Row Labels,Count of pointid
209371,306.9035645,8.320691204,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,,
209388,1033.148071,6.686311447,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
209845,697.6276855,4.314633502,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,H,L,,,
209846,727.2769165,9.229396032,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,H,L,,,
209847,495.8796387,1.505036648,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,M,L,,,
209848,164.5561829,3.384974757,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,,
209860,590.3488159,3.76840909,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,M,L,,,
209879,985.0609131,2.169463246,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,H,M,,,
209880,760.2003784,1.130521252,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,H,M,,,
209888,1046.68457,3.410639595,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
210333,429.3337708,14.64261643,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,M,L,,,
210334,-4.0539026,21.41508858,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
210335,-217.3945618,16.17072372,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
210336,-80.1877975,6.638463844,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
210367,605.4865723,4.832526534,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,M,M,,,
210368,676.6020508,0.312551551,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,H,M,,,
210369,962.8347778,1.622992658,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,H,M,,,
210375,973.7804565,2.523420028,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,H,M,,,
210821,247.9177704,6.440482582,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,,
210822,249.1144867,0.373305224,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,L,L,,,
210823,190.7768555,16.29507412,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,,
210824,-32.3381958,14.71466574,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
210825,-201.0172272,22.2162518,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
210826,-158.7355804,21.83793366,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
210827,-205.6872406,12.22364238,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
210835,589.9840088,0.690564584,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,M,L,,,
210836,361.289856,2.147238154,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,M,L,,,
210844,793.1405029,4.533734273,31,E,0.005785881,461.118988,244.1109924,-0.608634,0.0476986,-0.536781,0.0415386,6,N,N,H,M,,,
210857,485.6838074,11.91452332,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,M,M,,,
210858,642.821167,5.382627248,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
210864,968.9368286,5.503515162,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
210865,947.015564,3.424182804,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
211307,727.1392822,2.939331709,44,C,0.043175454,537.3590088,207.9299927,-0.636445,0.100786,-0.472332,0.0837623,52,Y,Y,H,M,,,
211311,584.9671631,0.270183456,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,M,L,,,
211312,287.0883484,2.934330715,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,L,L,,,
211314,418.0976562,4.908881379,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,M,L,,,
211315,179.8110046,11.16596456,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,,
211316,-32.0493965,16.16049617,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
211317,-116.9234619,12.53464639,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
211318,87.9193878,2.97320313,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,L,L,,,
211324,477.464447,1.509594611,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,M,L,,,
211332,546.7634277,6.673363795,31,E,0.005785881,461.118988,244.1109924,-0.608634,0.0476986,-0.536781,0.0415386,6,N,N,M,M,,,
211340,631.1205444,10.60589179,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,M,M,,,
211345,600.645874,12.31362444,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,M,M,,,
211346,693.8959961,7.463019079,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
211349,1137.505493,5.753466623,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
211350,1061.192139,11.73983866,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
211351,696.2763062,2.893320724,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,H,M,,,
211352,773.8504028,2.940071934,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,H,M,,,
211353,955.9743042,11.57957561,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
211788,509.6575623,6.193495496,44,C,0.043175454,537.3590088,207.9299927,-0.636445,0.100786,-0.472332,0.0837623,52,Y,N,M,M,,,
211789,314.5559998,8.430641469,44,C,0.043175454,537.3590088,207.9299927,-0.636445,0.100786,-0.472332,0.0837623,52,Y,N,L,M,,,
211797,429.7453003,3.596728369,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,M,L,,,
211798,265.5505676,9.41686313,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,,
211799,-59.5998459,13.75214059,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
211800,36.8387299,3.173353054,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
211804,646.4650269,0.871951066,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,H,L,,,
211812,301.5526428,11.68018841,31,E,0.005785881,461.118988,244.1109924,-0.608634,0.0476986,-0.536781,0.0415386,6,N,N,L,M,,,
211813,196.0994415,1.564605177,31,E,0.005785881,461.118988,244.1109924,-0.608634,0.0476986,-0.536781,0.0415386,6,N,Y,L,M,,,
211822,804.3981323,1.299524879,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,H,M,,,
211824,973.2422485,2.680335203,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,H,M,,,
211825,954.7461548,11.05748425,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
211826,1002.058899,17.33301431,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
211827,1025.330078,1.856044429,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,H,M,,,
211831,952.2770996,4.88692391,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
211832,542.2914429,16.93441038,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,M,M,,,
211833,458.875824,18.90580688,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,M,M,,,
211834,860.2266235,12.93238925,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
211836,1201.002319,1.897562293,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,H,M,,,
212275,797.9365234,2.185852639,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,H,L,,,
212276,490.5067749,11.77307127,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,M,L,,,
212277,-71.9702606,23.62110672,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
212278,-259.7002258,16.73994813,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
212279,-64.2191467,2.706170216,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,U,L,,,
212280,312.3734131,0.207117548,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,L,L,,,
212281,321.7081299,10.71105,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,M,L,,,
212290,196.0186615,12.98457849,31,E,0.005785881,461.118988,244.1109924,-0.608634,0.0476986,-0.536781,0.0415386,6,N,N,L,M,,,
212300,607.7283325,2.756592958,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,M,M,,,
212301,759.270752,3.372521619,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
212302,1112.509155,17.14471738,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
212303,1114.00293,23.8500119,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
212304,1130.737671,7.679824515,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
212310,859.199585,16.7712833,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
212311,678.185791,35.13837102,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
212312,851.6233521,19.67505267,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
212313,1082.613403,8.347935622,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
212732,787.7683105,6.760053252,44,C,0.043175454,537.3590088,207.9299927,-0.636445,0.100786,-0.472332,0.0837623,52,Y,N,H,M,,,
212733,727.7338867,8.29791808,44,C,0.043175454,537.3590088,207.9299927,-0.636445,0.100786,-0.472332,0.0837623,52,Y,N,H,M,,,
212742,41.8791199,12.95857573,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
212743,-218.0644989,21.20946401,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
212744,-196.1886444,15.82096235,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
212745,-136.3787537,15.24818419,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
212746,-30.1971664,12.48012124,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
212755,733.1374512,4.999017151,31,E,0.005785881,461.118988,244.1109924,-0.608634,0.0476986,-0.536781,0.0415386,6,N,N,H,M,,,
212765,638.8522339,1.042482863,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,M,M,,,
212766,775.0650024,11.49689728,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
212767,913.4151611,10.0421626,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
212768,1090.554443,12.89566484,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
212769,1091.233276,9.692754049,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
212775,717.4781494,11.25185419,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
212776,820.4348145,31.24936625,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
212777,970.8549805,15.28744629,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213196,681.1036377,5.662160389,44,C,0.043175454,537.3590088,207.9299927,-0.636445,0.100786,-0.472332,0.0837623,52,Y,N,H,M,,,
213205,677.0654297,2.120965093,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,Y,H,L,,,
213207,9.4253359,4.533233662,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
213208,-227.8171234,22.26317845,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
213209,-263.4824219,33.93231703,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
213210,-158.4295044,14.58391384,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
213228,426.5231934,9.612123126,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,M,M,,,
213229,538.9522705,16.60375014,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,M,M,,,
213230,936.2687378,23.96808141,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213231,912.5014038,5.360963849,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213233,1100.608765,17.9880462,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213239,734.5778809,16.24684058,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213240,1074.182861,20.64175405,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213241,985.6154785,15.54000691,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213647,779.9044189,2.725504725,44,C,0.043175454,537.3590088,207.9299927,-0.636445,0.100786,-0.472332,0.0837623,52,Y,Y,H,M,,,
213659,265.5031433,4.450993563,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,,
213660,-40.5902061,11.99827374,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
213661,-128.6759338,20.38113505,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
213662,-140.4936066,20.95609884,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
213663,2.7554817,10.3178176,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
213679,965.7359619,2.879742758,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,H,M,,,
213680,670.0643311,15.44512894,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213681,741.53479,25.37209153,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213682,1091.519409,15.46902552,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213683,1126.678589,0.288933142,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,H,M,,,
213685,1130.629273,12.79420338,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213686,713.4379883,16.38601307,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213687,799.7677612,13.82827364,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213688,1212.405273,4.669115852,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213690,719.4622803,7.529102448,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213691,896.4118652,22.6412109,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213692,1239.813355,6.057313285,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
213693,1053.303345,1.656876505,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,H,M,,,
214086,849.8485718,9.06506341,44,C,0.043175454,537.3590088,207.9299927,-0.636445,0.100786,-0.472332,0.0837623,52,Y,N,H,M,,,
214087,721.3662109,8.902278543,44,C,0.043175454,537.3590088,207.9299927,-0.636445,0.100786,-0.472332,0.0837623,52,Y,N,H,M,,,
214095,984.5963135,2.662149427,47,D,0.048266859,587.2459717,273.6870117,-0.707119,0.0447035,-0.536105,0.0686156,60,N,Y,H,M,,,
214098,672.0683594,5.140745854,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,H,L,,,
214101,122.8530121,9.500375725,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,,
214102,-60.2426949,25.24887317,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,U,L,,,
214103,89.0029907,22.14809605,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,,
214104,94.3642044,6.050425291,46,D,0.083087211,283.0650024,342.4289856,-0.672755,0.0733432,-0.54543,0.0850448,101,Y,N,L,L,,,
214118,960.4289551,1.190523059,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,H,M,,,
214119,1026.281738,3.79916736,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
214120,937.9356689,17.59564553,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
214121,878.9901733,5.473493733,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
214122,1047.886231,5.447539916,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
214125,1009.791809,2.555826856,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,Y,H,M,,,
214126,368.3511658,18.19046828,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,M,M,,,
214127,283.7867126,10.85563119,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,L,M,,,
214129,498.1964417,3.788938736,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,M,M,,,
214130,608.9310913,20.24693286,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,M,M,,,
214131,1021.389893,26.30565282,45,E,0.190213502,457.6069946,402.3770142,-0.765293,0.0472058,-0.641051,0.0901386,233,Y,N,H,M,,,
